Names
Echinoderma calcicola
Elaphomyces granulatus
Enteridium lycoperdon
Entoloma aprile
Entoloma clypeatum
Entoloma hebes
Entoloma incanum
Entoloma lividum
Entoloma opacum
Entoloma pallescens
Entoloma papillatum
Entoloma rhodopolium
Entoloma sepium
Entoloma sericeum
Entoloma serrulatum
Entoloma sinuatum
Entoloma vernum
Exidia glandulosa
Exidia pithya
Exidia plana
Exidia recisa
Exidia saccharina
Exidia thuretiana
Exidia truncata
Fistulina hepatica
Flammulina velutipes
Fomes fomentarius
Fomitopsis betulina
Fomitopsis officinalis
Fomitopsis pinicola
Fuligo cinerea
Fuligo septica
Galerina clavata
Galerina marginata
Galerina paludosa
Ganoderma applanatum
Ganoderma australe
Ganoderma carnosum
Ganoderma lipsiense
Ganoderma pfeifferi
Ganoderma resinaceum
Geastrum coronatum
Geastrum melanocephalum
Geastrum minimum
Geastrum nanum
Geastrum pectinatum
Geastrum quadrifidum
Geastrum rufescens
Geastrum saccatum
Geastrum sessile
Geastrum striatum
Geastrum triplex
Geoglossum glabrum
Gliophorus psittacinus
Gloeophyllum sepiarium
Gloeoporus dichrous
Gomphidius glutinosus
Gomphidius roseus
Gomphus clavatus
Grifola frondosa
Guepinia helvelloides
Gymnopilus junonius
Gymnopilus penetrans
Gymnopilus sapineus
Gymnopilus spectabilis
Gymnopus androsaceus
Gymnopus aquosus
Gymnopus confluens
Gymnopus dryophilus
Gymnopus fusipes
Gymnopus peronatus
Gymnosporangium juniperi-virginianae
Gyrodon lividus
Gyromitra esculenta
Gyromitra gigas
Gyromitra infula
Gyroporus castaneus
Gyroporus cyanescens
Hapalopilus rutilans
Hebeloma crustuliniforme
Hebeloma longicaudum
Hebeloma mesophaeum
Hebeloma radicosum
Helvella acetabulum
Helvella atra
Helvella costifera
Helvella crispa
Helvella elastica
Helvella ephippium
Helvella lactea
Helvella lacunosa
Helvella macropus
Helvella queletii
Helvella sulcata
Hemitrichia serpula
Hericium cirrhatum
Hericium coralloides
Hericium erinaceus
Heterobasidion annosum
Higrocybe pratensis
Hortiboletus rubellus
Humaria hemisphaerica
Hydnellum aurantiacum
Hydnellum caeruleum
Hydnellum compactum
Hydnellum ferrugineum
Hydnellum peckii
Hydnellum scrobiculatum
Hydnellum spongiosipes
Hydnellum suaveolens
Hydnum albidum
Hydnum repandum
Hydnum rufescens
Hygrocybe cantharellus
Hygrocybe chlorophana
Hygrocybe citrina
Hygrocybe coccinea
Hygrocybe conica
Hygrocybe flavescens
Hygrocybe intermedia
Hygrocybe laeta
Hygrocybe miniata
Hygrocybe persistens
Hygrocybe psittacina
Hygrocybe punicea
Hygrocybe tristis
Hygrophoropsis aurantiaca
Hygrophorus agathosmus
Hygrophorus arbustivus
Hygrophorus aureus
Hygrophorus camarophyllus
Hygrophorus chrysodon
Hygrophorus eburneus
Hygrophorus erubescens
Hygrophorus gliocyclus
Hygrophorus hypothejus
Hygrophorus lucorum
Hygrophorus marzuolus
Hygrophorus olivaceoalbus
Hygrophorus poetarum
Hygrophorus russula
Hygrophorus speciosus
Hymenochaete rubiginosa
Hymenochaete tabacina
Hymenoscyphus fructigenus
Hypholoma capnoides
Hypholoma fasciculare
Hypholoma lateritium
Hypholoma marginatum
Hypholoma sublateritium
Hypoxylon cohaerens
Hypoxylon fragiforme
Hypoxylon fuscum
Hypoxylon multiforme
Hypsizygus marmoreus
Hypsizygus tessellatus
Hypsizygus ulmarius
Imleria badia
Imperator torosus
Inocybe erubescens
Inocybe geophylla
Inocybe hystrix
Inocybe lacera
Inocybe maculata
Inocybe patouillardii
Inocybe rimosa
Inocybe squamata
Inonotus dryadeus
Inonotus hispidus
Ischnoderma benzoinum
Kretzschmaria deusta
Kuehneromyces  mutabilis
Kuehneromyce mutabilis
Laccaria amethystina
Laccaria bicolor
Laccaria laccata
Laccaria proxima
Laccaria tortilis
Lacrymaria lacrymabunda
Lactarius acerrimus
Lactarius acris
Lactarius atlanticus
Lactarius aurantiacus
Lactarius blennius
Lactarius blumii
Lactarius camphoratus
Lactarius chrysorrheus
Lactarius curtus
Lactarius decipiens
Lactarius deliciosus
Lactarius deterrimus
Lactarius fuliginosus
Lactarius glyciosmus
Lactarius helvus
Lactarius indigo
Lactarius intermedius
Lactarius luridus
Lactarius necator
Lactarius pallidus
Lactarius piperatus
Lactarius pterosporus
Lactarius pubescens
Lactarius quietus
Lactarius repraesentaneus
Lactarius rufus
Lactarius salmonicolor
Lactarius sanguifluus
Lactarius scrobiculatus
Lactarius tabidus
Lactarius torminosus
Lactarius trivialis
Lactarius turpis
Lactarius uvidus
Lactarius vellereus
Lactarius vinosus
Lactarius violascens
Lactarius volemus
Laetiporus sulphureus
Langermannia gigantea
Lanmaoa fragrans
Leccinum aurantiacum
Leccinum carpini
Leccinum holopus
Leccinum quercinum
Leccinum roseofractum
Leccinum scabrum
Leccinum variicolor
Leccinum versipelle
Leccinum vulpinum
Lentinellus cochleatus
Lentinellus ursinus
Lentinellus vulpinus
Lentinula edodes
Lentinus lepideus
Lentinus strigosus
Lentinus tigrinus
Lenzites betulina
Leocarpus fragilis
Leotia atrovirens
Leotia lubrica
Lepiota alba
Lepiota aspera
Lepiota brunneoincarnata
Lepiota castanea
Lepiota cristata
Lepiota echinacea
Lepiota helveola
Lepiota josserandii
Lepiota lilacea
Lepista flaccida
Lepista glaucocana
Lepista inversa
Lepista irina
Lepista nebularis
Lepista nuda
Lepista panaeolus
Lepista personata
Lepista sordida
Leptoporus mollis
Leucoagaricus leucothites
Leucopaxillus giganteus
Limacella illinita
Lycogala epidendrum
Lycoperdon echinatum
Lycoperdon foetidum
Lycoperdon molle
Lycoperdon nigrescens
Lycoperdon perlatum
Lycoperdon pyriforme
Lycoperdon umbrinum
Lycoperdon utriforme
Lyophyllum connatum
Lyophyllum decastes
Lyophyllum fumosum
Macrocystidia cucumis
Macrolepiota affinis
Macrolepiota excoriata
Macrolepiota konradii
Macrolepiota mastoidea
Macrolepiota procera
Macrolepiota rachodes
Macrolepiota rhacodes
Macrotyphula fistulosa
Marasmius alliaceus
Marasmius androsaceus
Marasmius anomalus
Marasmius cohaerens
Marasmius collinus
Marasmius epiphyllus
Marasmius oreades
Marasmius rotula
Marasmius scorodonius
Marasmius wynnei
Megacollybia platyphylla
Melanogaster variegatus
Melanoleuca brevipes
Melanoleuca cognata
Melanoleuca evenosa
Melanoleuca graminicola
Melanoleuca melaleuca
Meripilus giganteus
Merulius tremellosus
Metatrichia vesparium
Mitrula paludosa
Montagnea arenaria
Morchella conica
Morchella costata
Morchella deliciosa
Morchella elata
Morchella esculenta
Morchella hortensis
Morchella importuna
Morchella rotunda
Morchella semilibera
Morchella vulgaris
Morchella  conica
Mucilago crustacea
Mutinus caninus
Mycena acicula
Mycena arcangeliana
Mycena capillaripes
Mycena crocata
Mycena epipterygia
Mycena galericulata
Mycena galopus
Mycena haematopus
Mycena inclinata
Mycena latifolia
Mycena leptocephala
Mycena maculata
Mycena pearsoniana
Mycena pelianthina
Mycena polygramma
Mycena pseudocorticola
Mycena pura
Mycena renati
Mycena rosea
Mycena stipata
Mycena vitilis
Mycena vulgaris
Myriostoma coliforme
Neoboletus erythropus
Neobulgaria pura
Omphalotus illudens
Omphalotus japonicus
Omphalotus nidiformis
Omphalotus olearius
Onnia tomentosa
Otidea onotica
Oudemansiella mucida
Panaeolina foenisecii
Panaeolus ater
Panaeolus cinctulus
Panaeolus papilionaceus
Panaeolus sp
Panellus serotinus
Panellus stypticus
Paxillus atrotomentosus
Paxillus filamentosus
Paxillus involutus
Paxillus rubicundulus
Peniophora quercina
Peziza ammophila
Peziza badia
Peziza varia
Peziza vesiculosa
Phaeolepiota aurea
Phaeolus schweinitzii
Phaeomarasmius erinaceus
Phallus impudicus
Phallus rubicundus
Phellinus pini
Phellinus ribis
Phellinus robustus
Phellinus trivialis
Phellodon confluens
Phellodon niger
Phlebia radiata
Phlebia rufa
Phlebia tremellosa
Pholiota adiposa
Pholiota alnicola
Pholiota aurivella
Pholiota flammans
Pholiota highlandensis
Pholiota lenta
Pholiota lubrica
Pholiota nameko
Pholiota pinicola
Pholiota populnea
Pholiota squarrosa
Pholiota tuberculosa
Phylloporus rhodoxanthus
Phyllotopsis nidulans
Physarum leucophaeum
Piptoporus betulinus
Pisolithus arhizus
Plectania melastoma
Pleurocybella porrigens
Pleurotus
Pleurotus citrinopileatus
Pleurotus cornucopiae
Pleurotus cystidiosus
Pleurotus djamor
Pleurotus dryinus
Pleurotus nebrodensis
Pleurotus pulmonarius
Pleurotus sajor-caju
Plicaturopsis crispa
Pluteus aurantiorugosus
Pluteus cervinus
Pluteus leoninus
Pluteus nanus
Pluteus petasatus
Pluteus romellii
Pluteus salicinus
Polyporus arcularius
Polyporus badius
Polyporus brumalis
Polyporus lepideus
Polyporus squamosus
Polyporus tuberaster
Polyporus umbellatus
Polyporus varius
Poronia punctata
Porphyrellus porphyrosporus
Psathyrella candolleana
Psathyrella gracilis
Psathyrella hydrophila
Psathyrella lacrymabunda
Psathyrella marcescibilis
Psathyrella multipedata
Psathyrella pennata
Psathyrella squamosa
Pseudoboletus parasiticus
Pseudoclitocybe cyathiformis
Pseudohydnum gelatinosum
Psilocybe coprophila
Psilocybe montana
Psilocybe semilanceata
Pulcherricium caeruleum
Pycnoporus cinnabarinus
Ramaria abietina
Ramaria aurea
Ramaria botrytis
Ramaria flava
Ramaria flavescens
Ramaria formosa
Ramaria fumigata
Ramaria gracilis
Ramaria pallida
Ramaria sanguinea
Ramaria stricta
Ramaria subbotrytis
Reticularia lycoperdon
Rhizina undulata
Rhizopogon luteolus
Rhizopogon roseolus
Rhizopogon vulgaris
Rhodocollybia butyracea
Rhodocollybia maculata
Rhodocybe gemina
Rhodotus palmatus
Rickenella fibula
Rickenella  fibula
Rozites caperatus
Rubroboletus satanas
Russula adusta
Russula aeruginea
Russula albonigra
Russula amoena
Russula amoenolens
Russula anthracina
Russula aurea
Russula aurora
Russula badia
Russula caerulea
Russula claroflava
Russula cyanoxantha
Russula decolorans
Russula delica
Russula densifolia
Russula emetica
Russula foetens
Russula fragilis
Russula grisea
Russula heterophylla
Russula ilicis
Russula lepida
Russula lutea
Russula nigricans
Russula nobilis
Russula ochroleuca
Russula olivacea
Russula puellaris
Russula puellula
Russula rosea
Russula sanguinea
Russula solaris
Russula sororia
Russula subfoetens
Russula subnigricans
Russula vesca
Russula vinosa
Russula violeipes
Russula virescens
Russula xerampelina
Sarcodon imbricatus
Sarcodon squamosus
Sarcomyxa serotina
Sarcoscypha austriaca
Sarcoscypha coccinea
Sarcosphaera coronaria
Schizophyllum commune
Scleroderma areolatum
Scleroderma bovista
Scleroderma cepa
Scleroderma citrinum
Scleroderma meridionale
Scleroderma polyrhizum
Scleroderma verrucosum
Scutellinia scutellata
Scutiger pes-caprae
Serpula lacrymans
Sistotrema confluens
